,zoneid,wealth index,crime index
0,95077-20173008100,-0.44,0.36
1,23527-08059009843,2.05,-0.43
2,05410-08037000301,1.4,-0.72
3,88516-,-0.54,0.31
4,09298-08013012203,0.87,2.16
5,23500-48121020800,-0.72,0.48
6,09298-08013060600,1.51,-0.63
7,46126-08013060700,1.83,-0.42
8,28333-18163003702,-0.94,2.84
9,28333-18173030703,-0.08,-0.32
10,69454-05069002000,-0.58,0.22
11,22253-51590000200,-1.02,0.89
12,42400-37133002600,-1.02,0.43
13,42400-37133001300,-0.62,-0.12
14,68482-12033003308,-0.44,0.0
15,71317-53011041500,-0.0,-0.32
16,74179-32031003101,-0.01,0.14
17,07786-01073001200,-1.19,2.04
18,07786-01073012402,-0.8,-0.19
19,58600-01101005603,-1.06,2.02
20,04033-01081041100,-0.73,0.49
21,81739-22015010500,-0.75,1.71
22,01279-22079011600,-0.51,0.74
23,81739-22017023500,-1.37,3.63
24,81739-22017024104,-0.88,1.51
25,04222-13073030102,1.68,-0.56
26,04222-13245010504,-1.08,0.65
27,52822-13021011100,-1.63,2.18
28,52822-13021012500,-1.4,1.43
29,87058-48027021700,0.19,-0.34
30,40429-48201343301,-0.11,-0.39
31,70993-48245007100,-0.85,-0.28
32,70993-48245006900,-0.76,-0.34
33,13483-,0.04,-0.34
34,52390-48215021903,-1.25,1.03
35,19755-48339693800,-0.92,0.51
36,40429-48201542600,0.23,-0.19
37,40429-48339690202,0.59,-0.58
38,04384-48453980000,,1.42
39,27290-48453002433,-0.44,0.13
40,44992-48027022404,-0.26,0.01
41,40429-48201341201,-0.72,2.25
42,23527-08059010308,0.83,0.35
43,09298-08013012710,3.01,-0.59
44,15832-47065010433,-0.5,1.67
45,23824-26125144500,0.17,-0.42
46,23527-08035014008,1.75,-0.47
47,31087-18003010811,-0.61,-0.05
48,15481-54039001100,-0.6,1.14
49,16264-17089854400,-0.57,-0.36
50,57466-55079000900,-0.84,0.75
51,50392-05119002002,-1.28,2.25
52,53848-20161000900,0.02,-0.43
53,69697-42003490003,0.22,-0.86
54,05680-22033003201,-0.84,0.64
55,57007-48329010200,-0.77,0.59
56,58600-01101005407,-0.14,0.35
57,83993-47147080301,-0.71,-0.34
58,45640-47001020100,-0.58,0.04
59,41212-18097330700,-1.12,0.87
60,69454-05069000900,-1.12,2.37
61,69454-05069001501,-1.08,1.84
62,58600-01101001900,-0.34,1.7
63,58600-01101005402,-0.81,1.12
64,01279-22079012800,-1.29,2.19
65,01279-22079010500,-1.02,0.32
66,23824-26099240900,-0.16,-0.28
67,84547-13031110401,-1.07,0.27
68,35920-28045030100,-0.66,-0.16
69,53794-22103040201,0.04,-0.76
70,53794-22105954600,-0.24,-0.41
71,16264-18089041001,-0.54,0.56
72,82468-22103041204,-0.49,-0.63
73,36514-22105954502,-0.57,0.5
74,16264-17197883504,0.94,-0.61
75,58357-26115832400,0.28,-0.53
76,53794-22103040305,0.43,-0.77
77,69697-42003563800,0.59,-0.75
78,47719-26045020402,0.44,-0.57
79,47719-26065005402,-0.74,0.25
80,53794-22103040701,-0.44,-0.66
81,54955-,-0.15,-0.55
82,16264-17197883602,0.18,-0.58
83,16264-17197881112,0.81,-0.51
84,97129-17111870904,-0.12,-0.5
85,50392-05119003707,-0.09,0.17
86,26750-21093000901,-0.07,-0.73
87,35920-28047003000,-0.74,0.41
88,01927-48375012200,-1.33,1.72
89,83548-45083021100,-0.79,1.24
90,37675-37049961302,-0.66,0.06
91,61840-37049960900,-0.82,1.09
92,59194-37031970903,0.63,0.47
93,89110-01125011600,-1.1,2.84
94,17317-47125100500,-0.75,0.64
95,17317-47125101804,0.37,-0.55
96,17317-47125101101,-0.8,1.29
97,26750-21093000600,-0.71,0.28
98,68482-12033003611,0.02,-0.04
99,68482-12033002100,-1.03,1.33
100,23824-26163520800,1.85,0.81
101,09271-25017320102,2.59,-0.88
102,00496-,0.12,-0.35
103,34786-08123001412,0.64,-0.16
104,89110-01125010405,1.28,-0.4
105,22960-17037001400,-0.07,-0.2
106,73261-37183053609,0.06,0.07
