,zoneid,crimes per sq. mile,per capita income,pop. change,most similar RD stores,RD match index,similar store revenue,similar store noi,similar store bad debt
0,95077-20173008100,5.61,"$31,016",0%,"RD113, RD106, RD104, RD001, RD091",92.9%,"$14,773","$7,866",-$872
1,23527-08059009843,6.02,"$56,548",3%,"RD086, RD063, RD013, RD014, RD020",81.6%,"$26,962","$16,708",-$947
2,05410-08037000301,2.43,"$49,784",1%,"RD086, RD063, RD020, RD013, RD035",83.1%,"$17,476","$9,704",-$957
3,88516-,1.41,"$27,874",1%,"RD155, RD100, RD102, RD030, RD138",92.6%,"$21,811","$12,689","-$1,668"
4,09298-08013012203,158.34,"$55,363",1%,"RD142, RD012, RD155, RD050, RD054",86.3%,"$21,439","$10,573","-$1,000"
5,23500-48121020800,13.76,"$20,399",3%,"RD180, RD193, RD130, RD102, RD100",82.5%,"$19,880","$11,256","-$1,380"
6,09298-08013060600,3.97,"$50,496",1%,"RD086, RD063, RD012, RD178, RD020",84.2%,"$21,087","$11,944","-$1,150"
7,46126-08013060700,6.98,"$59,054",1%,"RD086, RD020, RD063, RD013, RD012",83.7%,"$18,670","$10,426",-$999
8,28333-18163003702,263.47,"$22,760",-0%,"RD052, RD069, RD067, RD070, RD068",100.0%,"$17,706","$9,457","-$1,305"
9,28333-18173030703,36.97,"$31,707",-0%,"RD091, RD047, RD058, RD113, RD001",93.2%,"$18,421","$10,459",-$846
10,69454-05069002000,2.19,"$29,767",-3%,"RD154, RD146, RD106, RD104, RD129",90.3%,"$17,326","$9,190","-$1,202"
11,22253-51590000200,73.67,"$21,048",-1%,"RD088, RD130, RD104, RD106, RD069",93.8%,"$16,378","$8,670","-$1,267"
12,42400-37133002600,29.52,"$18,450",1%,"RD162, RD102, RD100, RD130, RD158",90.5%,"$16,027","$8,423","-$1,508"
13,42400-37133001300,14.14,"$23,574",1%,"RD193, RD180, RD007, RD155, RD084",91.2%,"$22,386","$13,117","-$1,262"
14,68482-12033003308,30.21,"$28,493",3%,"RD155, RD188, RD127, RD101, RD113",93.8%,"$20,088","$11,953","-$1,459"
15,71317-53011041500,17.27,"$31,533",2%,"RD074, RD010, RD058, RD062, RD026",91.9%,"$21,391","$11,923",-$973
16,74179-32031003101,10.64,"$25,800",3%,"RD142, RD054, RD050, RD183, RD182",85.4%,"$20,616","$11,201",-$987
17,07786-01073001200,82.71,"$19,579",0%,"RD082, RD085, RD157, RD161, RD156",89.9%,"$17,639","$8,127","-$2,011"
18,07786-01073012402,6.03,"$24,565",0%,"RD179, RD017, RD155, RD064, RD129",92.2%,"$19,969","$10,400","-$1,544"
19,58600-01101005603,120.64,"$21,268",-0%,"RD128, RD139, RD098, RD181, RD077",88.1%,"$19,445","$9,583","-$2,437"
20,04033-01081041100,9.58,"$24,029",2%,"RD188, RD155, RD180, RD193, RD182",91.9%,"$23,683","$14,397","-$1,596"
21,81739-22015010500,105.3,"$21,515",-1%,"RD130, RD088, RD155, RD114, RD108",93.9%,"$11,913","$5,335","-$1,213"
22,01279-22079011600,36.53,"$23,870",-1%,"RD122, RD162, RD151, RD056, RD055",91.1%,"$20,227","$10,910","-$1,030"
23,81739-22017023500,246.7,"$12,617",-1%,"RD066, RD108, RD157, RD051, RD088",90.0%,"$15,439","$7,713","-$1,573"
24,81739-22017024104,109.07,"$16,179",-1%,"RD130, RD088, RD114, RD108, RD038",91.4%,"$14,549","$7,451","-$1,151"
25,04222-13073030102,12.04,"$56,638",1%,"RD063, RD053, RD020, RD057, RD058",91.0%,"$28,514","$17,499","-$1,064"
26,04222-13245010504,57.62,"$16,253",1%,"RD139, RD130, RD179, RD187, RD144",91.6%,"$15,364","$7,024","-$1,904"
27,52822-13021011100,122.02,"$9,737",0%,"RD156, RD157, RD161, RD162, RD130",90.7%,"$14,907","$5,555","-$1,968"
28,52822-13021012500,122.98,"$13,027",0%,"RD139, RD130, RD088, RD162, RD156",91.7%,"$13,749","$5,894","-$1,620"
29,87058-48027021700,8.83,"$41,139",4%,"RD155, RD178, RD183, RD182, RD062",91.9%,"$20,974","$11,553","-$1,036"
30,40429-48201343301,16.19,"$31,407",2%,"RD022, RD002, RD152, RD129, RD030",91.0%,"$18,794","$9,905","-$1,505"
31,70993-48245007100,7.45,"$21,625",-1%,"RD152, RD030, RD002, RD066, RD146",88.7%,"$21,370","$12,376","-$1,346"
